GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
AHRR,-0.4146458583433373,0.062,0.28200349141693337
AHSA1,-0.0909963985594237,0.776,0.8591507082152974
AHSA2P,0.1951980792316926,0.242,0.46425156460915445
AHSG,-0.2641536614645858,0.361,0.5619349795877726
AIDA,0.2120048019207683,0.434,0.6161767323585505
AIF1,-0.6947899159663866,0.013,0.17968965517241378
AIF1L,-0.2037454981992797,0.424,0.6081651527663089
AIFM1,0.0778391356542616,0.772,0.8572720556897288
AIFM2,-0.4973349339735894,0.004,0.14052134831460675
AIFM3,0.3892917166866746,0.28,0.4960045325779037
AIG1,-0.1772388955582232,0.603,0.7422597637795275
AIM2,0.114141656662665,0.684,0.7975663459386889
AIMP1,0.250516206482593,0.13,0.3583021861777151
AIMP2,-0.4338535414165666,0.275,0.49171623012695875
AIP,0.2237214885954381,0.083,0.3080576923076923
AIRE,-0.2625210084033613,0.543,0.6995812592714687
AJAP1,0.0850420168067226,0.571,0.7208045058139535
AJM1,0.1053061224489795,0.345,0.548219658467168
AK1,-0.0705402160864345,0.804,0.8775348739789152
AK2,0.4027370948379352,0.169,0.39830800542740846
AK3,-0.4560384153661464,0.011,0.17387563195146613
AK4,-0.5701320528211284,0.008,0.16586737400530505
AK5,-0.4203121248499399,0.152,0.38264347826086953
AK6,-0.2876830732292917,0.082,0.30748524826097384
AK8,-0.007923169267707,0.97,0.9828889032927146
AK9,0.2752941176470587,0.436,0.618005984223411
AKAIN1,0.4847539015606242,0.081,0.30571535490101404
AKAP1,0.2255462184873949,0.353,0.5553994565217392
AKAP10,0.3281152460984393,0.186,0.4137950761349082
AKAP11,-0.3906362545018007,0.199,0.42598480076680817
AKAP12,0.2389915966386554,0.45,0.6288977293044877
AKAP13,0.3597118847539015,0.461,0.637827506859014
AKAP17A,0.3478031212484994,0.247,0.46719310344827586
AKAP5,-0.4060024009603841,0.117,0.3458889939485628
AKAP6,0.1549579831932772,0.463,0.6392368630221673
AKAP7,0.6707803121248499,0.008,0.16586737400530505
AKAP8,-0.4493157262905162,0.201,0.4276892609228256
AKAP8L,0.1304681872749099,0.464,0.6398828510938603
AKAP9,0.3028571428571428,0.047,0.2595376192158248
AKIP1,-0.3354141656662665,0.241,0.4631857634620113
AKIRIN1,-0.6110444177671067,0.009,0.17012938331318017
AKIRIN2,-0.5369987995198079,0.079,0.30262362166135753
AKR1A1,-0.2783673469387754,0.459,0.6361864526997074
AKR1B1,-0.2632893157262905,0.401,0.5895639048246026
AKR1C1,-0.5333493397358944,0.093,0.3194614370468029
AKR1C3,-0.6174789915966385,0.011,0.17387563195146613
AKR1C4,-0.567923169267707,0.059,0.2766487702459508
AKR1E2,0.4404801920768307,0.051,0.2653188019966722
AKR7A2,-0.5413205282112845,0.025,0.21700444197667965
AKR7A2P1,-0.1796398559423769,0.398,0.5871964892412231
AKR7A3,-0.5544777911164467,0.007,0.16505429864253396
AKR7L,-0.5745498199279712,0.007,0.16505429864253396
AKT1,0.3359903961584633,0.285,0.4989255319148936
AKT1S1,0.041344537815126,0.847,0.9065555935916747
AKT2,0.2804801920768307,0.364,0.5641891731112433
AKT3,0.236110444177671,0.425,0.6089848762603116
AKTIP,-0.2090276110444177,0.371,0.5690583791208791
ALAD,0.0480672268907563,0.846,0.9057953564824327
ALAS1,-0.0896518607442977,0.756,0.8461159793814433
ALAS2,-0.0445138055222088,0.821,0.8893218542128603
ALB,-0.1987515006002401,0.372,0.5697536984422455
ALCAM,-0.3608643457382953,0.277,0.49337370399908853
ALDH16A1,-0.3225450180072028,0.211,0.437475198938992
ALDH18A1,0.335126050420168,0.359,0.5600485979443169
ALDH1A1,0.015126050420168,0.917,0.951321321919172
ALDH1A3,0.5170228091236494,0.149,0.3796148956975228
ALDH1B1,0.1434333733493397,0.578,0.7250741454020221
ALDH1L1,-0.4502761104441776,0.004,0.14052134831460675
ALDH1L2,0.2680912364945978,0.174,0.4039414909414909
ALDH2,-0.4338535414165666,0.038,0.24119123020706454
ALDH3A2,-0.1836734693877551,0.174,0.4039414909414909
ALDH3B1,-0.022328931572629,0.865,0.9194631807982594
ALDH4A1,-0.4884993997599039,0.003,0.1281393442622951
ALDH5A1,0.125954381752701,0.621,0.75484744576627
ALDH6A1,-0.497719087635054,0.012,0.17647789275634995
ALDH7A1,-0.4940696278511404,0.007,0.16505429864253396
ALDH8A1,0.1843457382953181,0.553,0.7071036316047767
ALDH9A1,-0.5440096038415366,0.005,0.152666015625
ALDOA,-0.3108283313325329,0.382,0.5772649589173514
ALDOC,0.019735894357743,0.946,0.9698857555089191
ALG1,0.3142857142857143,0.091,0.31747444766793126
ALG10,0.2709723889555822,0.324,0.5334483412322275
ALG10B,0.2645378151260504,0.223,0.447632126348228
ALG11,0.0245378151260504,0.862,0.9174595588235295
ALG12,0.1601440576230492,0.497,0.6650916795069337
ALG13,0.2281392557022809,0.233,0.45633788524179403
ALG14,-0.4036974789915966,0.176,0.4054535809018567
ALG1L,-0.4766866746698679,0.096,0.3217770154373928
ALG2,0.478703481392557,0.049,0.26224477918521055
ALG3,0.1194237695078031,0.559,0.7119223625254583
ALG5,-0.3883313325330132,0.248,0.46783926632074335
ALG6,0.4029291716686674,0.01,0.17293141592920352
ALG8,-0.5968307322929172,0.002,0.12213281250000001
ALG9,0.170516206482593,0.143,0.3740828313253012
ALK,-0.370564225690276,0.172,0.401624495892457
ALKAL1,0.2095078031212484,0.125,0.35458628198149156
ALKAL2,-0.6207442977190877,0.062,0.28200349141693337
ALKBH1,0.2377430972388955,0.148,0.37879567779960704
ALKBH2,-0.0133013205282112,0.949,0.9719416273584905
ALKBH3,-0.017719087635054,0.923,0.9549476505625414
ALKBH4,0.0732292917166866,0.677,0.7933094220823027
ALKBH5,0.2499399759903961,0.505,0.6708586845683209
ALKBH6,-0.3206242496998799,0.34,0.5447596597314749
