GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
SESN3,0.4577671068427371,0.034,0.6073930592229347
SESTD1,-0.0529651860744297,0.801,0.9138835936359655
SET,0.0244417767106842,0.876,0.9513378256339007
SETBP1,-0.1501560624249699,0.585,0.8088895276844154
SETD1A,-0.2680912364945978,0.242,0.6474732158137942
SETD1B,-0.1882833133253301,0.314,0.6812892014894497
SETD2,-0.3592316926770708,0.16,0.6240718562874252
SETD3,-0.3866026410564225,0.081,0.6073930592229347
SETD4,-0.2028811524609844,0.483,0.7622389460932768
SETD5,-0.2266986794717887,0.296,0.6707302507609798
SETD6,-0.3273469387755102,0.174,0.6290800185013875
SETD7,-0.4771668667466986,0.052,0.6073930592229347
SETD9,0.3109243697478991,0.228,0.6417993904625314
SETDB1,-0.2259303721488595,0.44,0.7401032924467398
SETDB2,0.1358463385354141,0.569,0.8012951085487793
SETMAR,-0.1898199279711884,0.275,0.6607516079632465
SETX,-0.177719087635054,0.54,0.7892501869857892
SEZ6,-0.0691956782713085,0.786,0.9063611418455411
SEZ6L,0.2314045618247298,0.47,0.7559166666666667
SEZ6L2,-0.0110924369747899,0.963,0.9851183745583038
SF1,0.3178391356542617,0.028,0.6073930592229347
SF3A1,0.0931092436974789,0.719,0.8727484276729559
SF3A2,0.3806482593037215,0.099,0.6073930592229347
SF3A3,0.0456662665066026,0.827,0.9263087339686179
SF3B1,-0.2028811524609844,0.371,0.7074704806050256
SF3B2,0.1063625450180072,0.613,0.8225775965665236
SF3B3,0.212484993997599,0.46,0.7515079945657854
SF3B4,-0.1447779111644657,0.547,0.792516311399444
SF3B5,0.2581992797118847,0.46,0.7515079945657854
SF3B6,0.4358703481392556,0.042,0.6073930592229347
SFI1,-0.1911644657863145,0.503,0.7703173001567398
SFMBT1,-0.0971428571428571,0.694,0.8597592519217053
SFMBT2,0.3430972388955582,0.206,0.6359395734597156
SFN,-0.018391356542617,0.902,0.9593799156347803
SFPQ,0.0510444177671068,0.849,0.9385106067034366
SFR1,0.0932052821128451,0.651,0.8404561070278306
SFRP1,0.5224969987995198,0.04,0.6073930592229347
SFRP2,0.2921008403361345,0.068,0.6073930592229347
SFSWAP,-0.2870108043217287,0.311,0.6797906879194632
SFT2D1,0.194813925570228,0.427,0.7357314008596936
SFT2D3,-0.0304921968787514,0.825,0.9253282393456737
SFTA1P,0.4148379351740696,0.038,0.6073930592229347
SFTPA1,-0.2533013205282112,0.4,0.7233314054366686
SFTPC,0.0840816326530612,0.66,0.8453732077017616
SFTPD,0.373157262905162,0.258,0.657122733836034
SFXN1,-0.350204081632653,0.231,0.6421093527738265
SFXN3,-0.3072749099639856,0.189,0.6304932781799379
SFXN4,-0.0720768307322929,0.863,0.9452307853990051
SFXN5,-0.1467947178871548,0.367,0.7059568106312293
SGCA,0.418391356542617,0.002,0.6073930592229347
SGCB,-0.0427851140456182,0.847,0.9376257612236227
SGCD,0.0349099639855942,0.877,0.9514984384759525
SGCE,0.1263385354141656,0.53,0.7851312423007676
SGF29,-0.1463145258103241,0.34,0.6929882659713169
SGIP1,-0.1218247298919567,0.693,0.8594057591623036
SGK1,0.3401200480192076,0.123,0.6112934222491664
SGK2,0.2581992797118847,0.157,0.6216770516717325
SGK3,0.0517166866746698,0.738,0.881843155239624
SGK494,-0.3778631452581032,0.233,0.6435492932862191
SGMS1,0.3279231692677071,0.079,0.6073930592229347
SGO2,-0.2376470588235293,0.412,0.7281849632560768
SGPL1,-0.057094837935174,0.801,0.9138835936359655
SGPP1,0.0608403361344537,0.794,0.91061565549116
SGPP2,-0.3887154861944777,0.053,0.6073930592229347
SGSH,0.4915726290516206,0.044,0.6073930592229347
SGSM1,-0.1441056422569027,0.492,0.7650125323254426
SGSM2,0.2018247298919567,0.246,0.649614527027027
