GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
A1BG,0.0909003601440576,0.684,1.0
A1BG-AS1,0.0753421368547418,0.657,1.0
A2M,0.2431212484993997,0.132,1.0
A2ML1,0.0021608643457382,0.991,1.0
A3GALT2,0.0725570228091236,0.617,1.0
A4GALT,0.2087394957983193,0.24,1.0
AAAS,0.0089795918367346,0.953,1.0
AACS,-0.0022569027611044,0.995,1.0
AADACL3,-0.2266986794717887,0.117,1.0
AADAT,0.0284753901560624,0.866,1.0
AAED1,0.0363505402160864,0.83,1.0
AAGAB,-0.0799519807923169,0.617,1.0
AAK1,-0.0959903961584633,0.661,1.0
AAMDC,0.0110924369747899,0.958,1.0
AAMP,-0.0637214885954381,0.723,1.0
AANAT,0.01906362545018,0.894,1.0
AAR2,0.1421848739495798,0.337,1.0
AARD,0.0163745498199279,0.95,1.0
AARS,0.0159903961584633,0.927,1.0
AARS2,-0.105594237695078,0.611,1.0
AASDH,-0.0245378151260504,0.914,1.0
AASDHPPT,0.3790156062424969,0.015,1.0
AASS,0.1613925570228091,0.397,1.0
AATF,0.0454741896758703,0.831,1.0
AATK,0.1595678271308523,0.282,1.0
ABAT,-0.0510444177671068,0.822,1.0
ABCA1,-0.0045618247298919,0.973,1.0
ABCA10,0.1775270108043217,0.244,1.0
ABCA11P,-0.1569747899159664,0.374,1.0
ABCA2,0.0691956782713085,0.647,1.0
ABCA3,-0.0680432172869147,0.72,1.0
ABCA5,0.040672268907563,0.849,1.0
ABCA6,0.036734693877551,0.851,1.0
ABCA7,-0.1077070828331332,0.584,1.0
ABCA8,0.1492917166866746,0.339,1.0
ABCA9,-0.1046338535414165,0.615,1.0
ABCB1,0.1162545018007202,0.479,1.0
ABCB10,0.0544057623049219,0.796,1.0
ABCB6,0.0222328931572629,0.91,1.0
ABCB7,-0.1576470588235294,0.402,1.0
ABCB8,-0.1289315726290516,0.481,1.0
ABCB9,0.07937575030012,0.645,1.0
ABCC1,-0.0117647058823529,0.962,1.0
ABCC10,0.0611284513805522,0.73,1.0
ABCC12,0.1812725090036014,0.34,1.0
ABCC5,-0.0356782713085234,0.871,1.0
ABCC6,0.1582232893157263,0.382,1.0
ABCC8,0.0298199279711884,0.882,1.0
ABCC9,-0.0908043217286914,0.648,1.0
ABCD2,-0.2956542617046819,0.141,1.0
ABCD3,-0.2556062424969988,0.098,1.0
ABCD4,0.0329891956782713,0.809,1.0
ABCE1,-0.0204081632653061,0.912,1.0
ABCF1,0.1456422569027611,0.455,1.0
ABCF2,0.0049459783913565,0.978,1.0
ABCF3,0.1471788715486194,0.447,1.0
ABCG1,-0.1467947178871548,0.497,1.0
ABCG2,0.1585114045618247,0.329,1.0
ABCG4,-0.0558463385354141,0.798,1.0
ABCG8,0.026938775510204,0.825,1.0
ABHD1,0.1178871548619447,0.568,1.0
ABHD10,-0.0759183673469387,0.673,1.0
ABHD11,0.0442256902761104,0.802,1.0
ABHD12,-0.1004081632653061,0.636,1.0
ABHD12B,0.1491956782713085,0.54,1.0
ABHD13,0.0423049219687875,0.822,1.0
ABHD14A,0.0701560624249699,0.661,1.0
ABHD14B,0.1714765906362545,0.258,1.0
ABHD16A,-0.0089795918367346,0.956,1.0
ABHD16B,-0.1885714285714285,0.272,1.0
ABHD17A,-0.1685954381752701,0.401,1.0
ABHD17B,0.1248979591836734,0.359,1.0
ABHD17C,0.0194477791116446,0.895,1.0
ABHD18,-0.1739735894357743,0.386,1.0
ABHD2,-0.1084753901560624,0.54,1.0
ABHD3,-0.3847779111644658,0.026,1.0
ABHD4,-0.1981752701080432,0.232,1.0
ABHD5,-0.0822569027611044,0.597,1.0
ABHD6,-0.1743577430972388,0.329,1.0
ABHD8,-0.0616086434573829,0.732,1.0
ABI1,0.0621848739495798,0.763,1.0
ABI2,0.204609843937575,0.288,1.0
ABI3,0.0776470588235294,0.602,1.0
ABL1,-0.001968787515006,0.994,1.0
ABL2,-0.0623769507803121,0.722,1.0
ABLIM1,-0.1739735894357743,0.258,1.0
ABLIM2,0.1959663865546218,0.306,1.0
ABLIM3,0.0260744297719087,0.913,1.0
ABR,0.0639135654261704,0.73,1.0
ABRACL,0.0763025210084033,0.715,1.0
ABRAXAS2,0.0993517406962785,0.487,1.0
ABT1,-0.0875390156062425,0.605,1.0
ABTB1,0.0109963985594237,0.946,1.0
ABTB2,-0.0433613445378151,0.788,1.0
ACAA1,-0.0426890756302521,0.83,1.0
ACAA2,-0.0497959183673469,0.814,1.0
ACACA,-0.0219447779111644,0.905,1.0
ACACB,0.0592076830732292,0.681,1.0
ACAD10,-0.1841536614645858,0.302,1.0
ACAD11,-0.1860744297719087,0.338,1.0
ACAD8,-0.0566146458583433,0.755,1.0
ACAD9,0.1156782713085234,0.566,1.0
ACADL,0.0969507803121248,0.59,1.0
ACADM,-0.0700600240096038,0.722,1.0
ACADSB,-0.0860984393757503,0.664,1.0
ACADVL,0.0116686674669867,0.955,1.0
ACAN,-0.1299879951980792,0.532,1.0
ACAP2,-0.0016806722689075,0.988,1.0
ACAP3,-0.237454981992797,0.197,1.0
ACAT1,-0.0706362545018007,0.707,1.0
ACAT2,0.1625450180072028,0.452,1.0
ACBD3,0.1382472989195678,0.35,1.0
ACBD4,0.055750300120048,0.729,1.0
ACBD5,-0.196734693877551,0.204,1.0
ACBD6,0.3421368547418967,0.05,1.0
ACBD7,-0.1493877551020408,0.391,1.0
ACCS,-0.1241296518607443,0.418,1.0
ACD,0.0555582232893157,0.722,1.0
ACE,0.0994477791116446,0.572,1.0
ACER2,0.1758943577430972,0.235,1.0
ACER3,-0.0720768307322929,0.652,1.0
ACHE,-0.0801440576230492,0.658,1.0
ACIN1,-0.284609843937575,0.083,1.0
ACKR1,-0.0326050420168067,0.881,1.0
ACKR2,-0.0266506602641056,0.858,1.0
ACKR3,0.2023049219687875,0.302,1.0
ACKR4,-0.1013685474189675,0.491,1.0
ACLY,-0.2784633853541416,0.061,1.0
ACO1,-0.0102280912364945,0.944,1.0
ACO2,-0.0487394957983193,0.823,1.0
ACOT11,-0.3174549819927971,0.063,1.0
ACOT13,0.0703481392557022,0.746,1.0
ACOT2,0.1031932773109243,0.593,1.0
ACOT4,0.2209363745498199,0.158,1.0
ACOT7,0.1557262905162064,0.412,1.0
ACOT8,0.0445138055222088,0.86,1.0
ACOT9,0.0423049219687875,0.773,1.0
ACOX1,-0.1671548619447778,0.259,1.0
ACOX2,-0.0535414165666266,0.748,1.0
ACOX3,0.167923169267707,0.434,1.0
ACP1,0.0084033613445378,0.96,1.0
ACP2,-0.2230492196878751,0.159,1.0
ACP5,0.12921968787515,0.377,1.0
ACP6,-0.1574549819927971,0.305,1.0
ACPP,0.0681392557022809,0.652,1.0
ACR,0.3180312124849939,0.054,1.0
ACRBP,-0.1204801920768307,0.417,1.0
ACSBG1,-0.1265306122448979,0.468,1.0
ACSF2,-0.186266506602641,0.247,1.0
ACSF3,-0.026938775510204,0.883,1.0
ACSL1,0.0303961584633853,0.831,1.0
ACSL3,0.1970228091236494,0.275,1.0
ACSL4,0.080048019207683,0.681,1.0
ACSL6,-0.1195198079231692,0.565,1.0
ACSM1,-0.021656662665066,0.905,1.0
ACSM2A,-0.1651380552220888,0.243,1.0
ACSM5,0.1570708283313325,0.414,1.0
ACSS1,-0.2574309723889555,0.08,1.0
ACSS2,0.1465066026410564,0.316,1.0
ACSS3,-0.0922448979591836,0.595,1.0
ACTA1,0.1288355342136855,0.573,1.0
ACTA2,0.1748379351740696,0.236,1.0
ACTB,0.2487875150060023,0.231,1.0
ACTBL2,0.0555582232893157,0.726,1.0
ACTC1,0.1927010804321728,0.425,1.0
ACTG1,0.1714765906362545,0.4,1.0
ACTG1P4,-0.0182953181272509,0.919,1.0
ACTG2,0.1352701080432173,0.402,1.0
ACTL10,-0.1166386554621848,0.441,1.0
ACTL6A,0.0945498199279711,0.606,1.0
ACTL6B,0.0011044417767106,0.996,1.0
ACTL8,0.0080192076830732,0.958,1.0
ACTN1,0.1970228091236494,0.256,1.0
ACTN2,0.3215846338535413,0.121,1.0
ACTN4,0.0506602641056422,0.773,1.0
ACTR10,0.036734693877551,0.879,1.0
ACTR1A,0.1389195678271308,0.574,1.0
ACTR1B,0.0290516206482593,0.904,1.0
ACTR2,0.0360624249699879,0.844,1.0
ACTR3,-0.137094837935174,0.343,1.0
ACTR3B,0.0589195678271308,0.75,1.0
ACTR3BP2,0.1015606242496998,0.608,1.0
ACTR3C,0.0226170468187274,0.931,1.0
ACTR5,0.0834093637454981,0.667,1.0
ACTR6,0.0925330132052821,0.649,1.0
ACTR8,-0.0416326530612244,0.8,1.0
ACTRT3,0.0152220888355342,0.926,1.0
ACVR1,-0.1408403361344538,0.403,1.0
ACVR1B,-0.1506362545018007,0.462,1.0
ACVR1C,-0.083313325330132,0.711,1.0
ACVR2A,0.1216326530612244,0.57,1.0
ACVR2B,0.1100120048019207,0.596,1.0
ACVRL1,0.1266266506602641,0.483,1.0
ACY3,0.1801200480192076,0.307,1.0
ACYP1,0.0757262905162065,0.714,1.0
