GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
label,-0.2076687668766876,0.222,0.5739619646105507
A1BG,-0.3052745274527452,0.28,0.6154252776606214
A1BG-AS1,-0.2619261926192619,0.101,0.4496110478359909
A2M,-0.1249564956495649,0.483,0.7362018133957297
A2ML1,0.0494209420942094,0.595,0.7962192929898142
A3GALT2,0.143054305430543,0.111,0.4633842456608812
A4GALT,-0.0769156915691569,0.571,0.783621313202247
AAAS,0.2392559255925592,0.242,0.5890437490269343
AACS,-0.0833483348334833,0.631,0.8171847249834326
AADACL3,0.1848184818481848,0.077,0.41683448753462604
AADAT,-0.0695589558955895,0.549,0.7706110612318191
AAED1,-0.0804320432043204,0.75,0.8846095812900792
AAGAB,0.0584098409840984,0.696,0.8534324705882352
AAK1,0.3499429942994299,0.073,0.40847602004294914
AAMDC,-0.238115811581158,0.125,0.4820547607301431
AAMP,-0.1735373537353735,0.11,0.4622956989247312
AANAT,0.0264146414641464,0.788,0.9047878965922445
AAR2,0.0842724272427242,0.453,0.7192243322839443
AARD,0.2867206720672067,0.155,0.511886354034643
AARS,-0.0714071407140714,0.772,0.8958913301662708
AARS2,0.3734893489348934,0.097,0.44524310041103937
AASDH,0.3219081908190818,0.26,0.6023770005927683
AASDHPPT,-0.0731473147314731,0.553,0.7731022087096486
AASS,-0.2143414341434143,0.283,0.617418643594753
AATF,-0.2016321632163216,0.437,0.7105624544981799
AATK,-0.0315391539153915,0.836,0.9268863201191404
ABAT,0.1567596759675967,0.559,0.7771815028901735
ABCA1,-0.0522892289228922,0.767,0.89340470868723
ABCA10,0.0087728772877287,0.959,0.9833413786318619
ABCA11P,0.2336753675367536,0.115,0.4690607878945996
ABCA2,-0.1082988298829882,0.302,0.6295290666666666
ABCA3,-0.2061686168616861,0.1,0.44886592018374966
ABCA5,0.425010501050105,0.007,0.26498305084745766
ABCA6,0.3553195319531952,0.091,0.4369453316953317
ABCA7,0.3279567956795679,0.061,0.39473261589403974
ABCA8,-0.1559315931593159,0.217,0.5689381183967802
ABCA9,0.4722112211221121,0.008,0.2678201284796574
ABCB1,0.1331173117311731,0.453,0.7192243322839443
ABCB10,0.3155595559555955,0.083,0.42721405335068313
ABCB6,-0.3365496549654965,0.078,0.4183368782161235
ABCB7,0.4432763276327632,0.001,0.16285416666666666
ABCB8,-0.0682508250825082,0.689,0.8497811612496055
ABCB9,0.2032643264326432,0.187,0.5390040560471977
ABCC1,0.4508970897089708,0.003,0.2122262443438914
ABCC10,0.1691089108910891,0.124,0.48104615384615385
ABCC12,-0.3672967296729672,0.008,0.2678201284796574
ABCC5,0.3395019501950195,0.157,0.5133942689813846
ABCC6,-0.3535553555355535,0.007,0.26498305084745766
ABCC8,0.3432823282328232,0.041,0.35551525235718245
ABCC9,-0.0763276327632763,0.783,0.9022274469339623
ABCD2,0.3512511251125113,0.08,0.422255232950709
ABCD3,0.1718571857185718,0.088,0.43400378548895896
ABCD4,0.1249084908490849,0.318,0.6394356270096463
ABCE1,0.0032403240324032,0.985,0.9944778818211172
ABCF1,-0.2578457845784578,0.09,0.4362976744186046
ABCF2,0.0342394239423942,0.874,0.9456135640138408
ABCF3,-0.2114491449144914,0.179,0.53061926431551
ABCG1,0.2215781578157815,0.375,0.673105625717566
ABCG2,0.0692949294929492,0.686,0.8483565891472868
ABCG4,0.2137653765376537,0.28,0.6154252776606214
ABCG8,-0.0276147614761476,0.801,0.9114144104803494
ABHD1,-0.3886828682868286,0.013,0.2891066856330014
ABHD10,0.1411941194119411,0.447,0.71551121122146
ABHD11,0.1257965796579657,0.523,0.7591998142989788
ABHD12,0.1987398739873987,0.451,0.7180177189409368
ABHD12B,-0.3106390639063906,0.367,0.6675599767306574
ABHD13,0.3086348634863486,0.056,0.3855147512109203
ABHD14A,0.1256285628562856,0.269,0.609499420289855
ABHD14B,-0.0631743174317431,0.549,0.7706110612318191
ABHD16A,-0.0164536453645364,0.88,0.9473846577606391
ABHD16B,0.1128232823282328,0.284,0.6176180275420781
ABHD17A,0.3079987998799879,0.169,0.5220600671803992
ABHD17B,0.116039603960396,0.367,0.6675599767306574
ABHD17C,-0.1753375337533753,0.343,0.6521296363857474
ABHD18,0.1713891389138913,0.403,0.6882033861277991
ABHD2,-0.1916591659165916,0.316,0.6375460059362499
ABHD3,0.3633243324332433,0.026,0.32754552780016116
ABHD4,-0.0678547854785478,0.744,0.881255852716115
ABHD5,0.2184458445844584,0.058,0.3865183290707587
ABHD6,0.2724752475247524,0.202,0.5531735855666492
ABHD8,-0.0541374137413741,0.734,0.8749794891345787
ABI1,-0.2779717971797179,0.125,0.4820547607301431
ABI2,-0.2092169216921691,0.386,0.6786689158794422
ABI3,-0.18001800180018,0.161,0.5166408045977012
ABL1,0.1627602760276027,0.222,0.5739619646105507
ABL2,0.3347854785478548,0.05,0.37617901828681427
ABLIM1,0.1932673267326732,0.18,0.5316682410731154
ABLIM2,-0.1232643264326432,0.61,0.8047202767698929
ABLIM3,-0.0889048904890489,0.779,0.900139393939394
ABR,-0.1158835883588358,0.618,0.810574252449954
ABRACL,0.1687368736873687,0.495,0.7432606607760276
ABRAXAS2,0.027062706270627,0.773,0.8965859485125011
ABT1,0.08008400840084,0.668,0.8403888307717069
ABTB1,0.1268046804680468,0.578,0.7870788258862468
ABTB2,0.3077947794779477,0.074,0.41069080582179623
ACAA1,-0.1654005400540053,0.288,0.6205336273428885
ACAA2,-0.2342034203420341,0.174,0.525157528957529
ACACA,-0.1915751575157515,0.272,0.6107206663794342
ACACB,0.1268766876687668,0.325,0.642764073371284
ACAD10,0.2011641164116411,0.211,0.5635076870515887
ACAD11,0.4396279627962796,0.0,0.0
ACAD8,0.0468766876687668,0.708,0.8612567693744164
ACAD9,-0.2913291329132913,0.04,0.35471355643789
ACADL,-0.1774497449744974,0.539,0.7662053100563739
ACADM,0.2313591359135913,0.292,0.6222911668484188
ACADSB,0.3021782178217821,0.158,0.5140836628511967
ACADVL,-0.1074107410741074,0.675,0.8434937255215411
ACAN,0.3122352235223521,0.309,0.6329803459119497
ACAP2,0.2530813081308131,0.086,0.4303854033290653
ACAP3,0.184014401440144,0.444,0.7139987656860728
ACAT1,-0.1661806180618062,0.339,0.6505397136213439
ACAT2,-0.4071647164716471,0.025,0.3265246449456976
ACBD3,0.1086708670867086,0.233,0.5830220870678617
ACBD4,0.1017941794179417,0.34,0.6505397136213439
ACBD5,0.1418781878187818,0.204,0.556117872711421
ACBD6,-0.2431563156315631,0.145,0.500868316394167
ACBD7,-0.1767176717671767,0.085,0.4277084003862247
ACCS,-0.0259465946594659,0.845,0.9310543378673619
ACD,0.2115931593159315,0.129,0.4841060969755161
ACE,0.0216381638163816,0.914,0.9634870204301801
ACER2,0.1945874587458745,0.03,0.3338220640569395
ACER3,0.1141314131413141,0.517,0.7561064546304958
ACHE,0.0315631563156315,0.911,0.9621410524893603
ACIN1,0.2687308730873087,0.02,0.31268
ACKR1,-0.1738853885388538,0.399,0.6857922163588391
ACKR2,-0.0012001200120011,0.988,0.9953854878205954
ACKR3,-0.3733333333333332,0.034,0.34030473751600515
ACKR4,0.2188898889888988,0.071,0.4052625045637094
ACLY,0.2182418241824182,0.038,0.35008367707719507
ACO1,0.0615661566156615,0.558,0.7762744260544581
ACO2,-0.1949354935493549,0.417,0.6976327447833066
ACOT11,0.1811221122112211,0.185,0.5366029684601114
ACOT13,-0.268994899489949,0.308,0.6323403808273146
ACOT2,-0.3473267326732673,0.057,0.3865183290707587
ACOT4,-0.131053105310531,0.212,0.5639625659350008
ACOT7,-0.2665946594659465,0.13,0.4856439665471924
ACOT8,-0.4113771377137712,0.05,0.37617901828681427
ACOT9,-0.0268226822682268,0.802,0.9115571065067248
ACOX1,-0.0674707470747074,0.654,0.8314064075459424
ACOX2,-0.2436003600360035,0.134,0.490048187134503
ACOX3,-0.3638883888388838,0.113,0.465641012124407
ACP1,-0.3112871287128712,0.093,0.4407280994240679
ACP2,0.0081248124812481,0.947,0.9775766259491582
ACP5,-0.1869666966696669,0.065,0.39804543674108894
ACP6,0.1646924692469246,0.186,0.5380062904717854
ACPP,-0.0716591659165916,0.506,0.7502659332321701
ACR,-0.0828442844284428,0.697,0.8537212472579128
ACRBP,0.0393999399939994,0.774,0.8968143481805382
ACSBG1,-0.2061806180618061,0.084,0.42721405335068313
ACSF2,-0.0835163516351635,0.552,0.7723948805155285
ACSF3,0.004068406840684,0.977,0.9910730599532831
ACSL1,0.0538613861386138,0.599,0.7974085490463215
ACSL3,0.147002700270027,0.466,0.7271627906976744
ACSL4,-0.3047944794479448,0.312,0.6343878267655092
ACSL6,0.3031983198319832,0.323,0.6414865345528455
ACSM1,0.1874347434743474,0.275,0.6123557897735366
ACSM2A,-0.046048604860486,0.653,0.8306079244975999
ACSM5,-0.3129552955295529,0.09,0.4362976744186046
ACSS1,-0.0795199519951995,0.366,0.6672159514925373
ACSS2,0.0985298529852985,0.517,0.7561064546304958
ACSS3,-0.2535013501350134,0.132,0.4872935064935065
ACTA1,-0.1975157515751574,0.591,0.793719955330298
ACTA2,-0.0829042904290428,0.417,0.6976327447833066
ACTB,-0.3140714071407141,0.142,0.49854659779923644
ACTBL2,0.0756195619561956,0.488,0.7392105416141846
ACTC1,-0.4301110111011101,0.1,0.44886592018374966
ACTG1,-0.414089408940894,0.016,0.2981454112038141
ACTG1P4,-0.1595679567956795,0.263,0.6051128771155261
ACTG2,-0.0924812481248124,0.34,0.6505397136213439
ACTL10,-0.1213441344134413,0.272,0.6107206663794342
ACTL6A,-0.2494929492949295,0.124,0.48104615384615385
ACTL6B,0.1645724572457245,0.361,0.6646106924163918
ACTL8,0.0934893489348934,0.5,0.746252983293556
ACTN1,-0.1169276927692769,0.501,0.7467474497092191
ACTN2,-0.3717371737173717,0.05,0.37617901828681427
ACTN4,0.0922772277227722,0.745,0.8813719258418463
ACTR10,-0.3391659165916591,0.17,0.5233647333592838
ACTR1A,-0.3655685568556855,0.08,0.422255232950709
ACTR1B,0.1723612361236123,0.613,0.8068397036538137
ACTR2,0.1095229522952295,0.472,0.7308356937704269
ACTR3,-0.0534533453345334,0.749,0.8840303487845387
ACTR3B,-0.2696189618961896,0.202,0.5531735855666492
ACTR3BP2,-0.0539093909390939,0.747,0.8828027817673294
ACTR3C,0.0439123912391239,0.797,0.9089800116720165
ACTR5,0.2124932493249324,0.362,0.6654330393885949
ACTR6,-0.0874047404740474,0.706,0.8598943596135868
ACTR8,-0.1408940894089408,0.368,0.6683680297397769
ACTRT3,0.0037923792379237,0.977,0.9910730599532831
ACVR1,0.39009900990099,0.001,0.16285416666666666
ACVR1B,0.1724452445244524,0.423,0.7010688010177037
ACVR1C,0.2929132913291329,0.267,0.6080521485797524
ACVR2A,-0.1564956495649565,0.654,0.8314064075459424
ACVR2B,-0.1591719171917191,0.499,0.7456146420720635
ACVRL1,-0.0052205220522052,0.976,0.9909588258215353
ACY3,-0.333069306930693,0.019,0.30718304033092036
ACYP1,-0.0462166216621662,0.743,0.8808722226435125
ACYP2,0.187002700270027,0.57,0.78307381370826
ADA,-0.2135493549354935,0.024,0.3220738197424893
ADA2,0.0593819381938193,0.531,0.7618992290748899
ADAD2,0.1484908490849084,0.527,0.7609085703731068
ADAL,0.2345994599459945,0.211,0.5635076870515887
ADAM10,0.1069306930693069,0.389,0.6802713646532438
ADAM11,0.303006300630063,0.02,0.31268
ADAM15,0.4288028802880287,0.001,0.16285416666666666
ADAM17,0.1505070507050704,0.134,0.490048187134503
ADAM19,0.082064206420642,0.7,0.8559874853343762
ADAM20,0.4776117611761175,0.002,0.20043589743589743
ADAM20P1,0.3179237923792379,0.047,0.3675827913956978
ADAM22,0.3246204620462046,0.087,0.4316591558235481
ADAM23,0.1895349534953495,0.518,0.7570731980929233
ADAM28,-0.4219021902190218,0.013,0.2891066856330014
ADAM29,0.1296129612961296,0.151,0.5079031841652323
ADAM33,0.1151875187518751,0.292,0.6222911668484188
ADAM7,0.1709690969096909,0.105,0.4547285318559557
ADAM8,0.196039603960396,0.113,0.465641012124407
ADAM9,0.3543594359435943,0.032,0.3371212938005391
ADAMTS1,0.0297509750975097,0.755,0.8874939849624061
ADAMTS10,-0.0031443144314431,0.965,0.985550692448393
ADAMTS13,0.4474047404740474,0.002,0.20043589743589743
ADAMTS14,-0.0461326132613261,0.747,0.8828027817673294
ADAMTS19,-0.1932313231323132,0.477,0.7335151158225363
ADAMTS2,0.0223702370237023,0.936,0.9734200758331671
