GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
ACOT7,0.0532373237323732,0.717,1.0
ACOT8,-0.0489648964896489,0.83,1.0
ACOT9,0.0432763276327632,0.692,1.0
ACOX1,-0.1814701470147014,0.142,1.0
ACOX2,-0.0387158715871587,0.82,1.0
ACOX3,0.0809000900090008,0.675,1.0
ACP1,-0.051101110111011,0.792,1.0
ACP2,-0.1083468346834683,0.383,1.0
ACP5,-0.0524212421242124,0.665,1.0
ACP6,-0.1556195619561955,0.184,1.0
ACPP,0.0341914191419141,0.776,1.0
ACR,0.3121632163216321,0.024,1.0
ACRBP,-0.1418301830183018,0.242,1.0
ACSBG1,-0.2007920792079208,0.152,1.0
ACSF2,-0.2355475547554755,0.093,1.0
ACSF3,0.0638943894389438,0.702,1.0
ACSL1,-0.0362796279627962,0.77,1.0
ACSL3,0.2782238223822382,0.084,1.0
ACSL4,0.0141494149414941,0.954,1.0
ACSL6,-0.0503330333033303,0.807,1.0
ACSM1,-0.0508610861086108,0.715,1.0
ACSM2A,-0.0534293429342934,0.622,1.0
ACSM5,-0.0809360936093609,0.614,1.0
ACSS1,-0.178061806180618,0.12,1.0
ACSS2,0.1047464746474647,0.423,1.0
ACSS3,-0.1518511851185118,0.298,1.0
ACTA1,-0.0241344134413441,0.91,1.0
ACTA2,0.1548994899489948,0.137,1.0
ACTB,-0.0021602160216021,0.992,1.0
ACTBL2,-0.0033243324332433,0.981,1.0
ACTC1,0.0713231323132313,0.766,1.0
ACTG1,0.0392199219921992,0.83,1.0
ACTG1P4,-0.0306870687068706,0.833,1.0
ACTG2,0.1164116411641164,0.25,1.0
ACTL10,-0.0937893789378938,0.409,1.0
ACTL6A,0.0079327932793279,0.952,1.0
ACTL6B,0.071083108310831,0.64,1.0
ACTL8,-0.0969456945694569,0.483,1.0
ACTN1,0.0846564656465646,0.594,1.0
ACTN2,0.2863246324632463,0.11,1.0
ACTN4,0.1453225322532253,0.449,1.0
ACTR10,-0.0459765976597659,0.828,1.0
ACTR1A,0.0208100810081008,0.922,1.0
ACTR1B,0.1505670567056705,0.494,1.0
ACTR2,-0.0556015601560156,0.655,1.0
ACTR3,-0.2858445844584458,0.034,1.0
ACTR3B,0.0508370837083708,0.781,1.0
ACTR3BP2,-0.0024002400240023,0.986,1.0
ACTR3C,-0.2009120912091208,0.199,1.0
ACTR5,0.124032403240324,0.538,1.0
ACTR6,0.0357515751575157,0.851,1.0
ACTR8,-0.0827242724272427,0.508,1.0
ACTRT3,-0.0049684968496849,0.961,1.0
ACVR1,-0.1218721872187218,0.432,1.0
ACVR1B,0.0838643864386438,0.565,1.0
ACVR1C,-0.024026402640264,0.899,1.0
ACVR2A,0.0373357335733573,0.878,1.0
ACVR2B,0.1133873387338733,0.521,1.0
ACVRL1,0.2024602460246024,0.192,1.0
ACY3,-0.0037203720372037,0.982,1.0
ACYP1,0.0321632163216321,0.832,1.0
ACYP2,-0.0713231323132313,0.767,1.0
ADA,0.0521212121212121,0.648,1.0
ADA2,-0.0771077107710771,0.461,1.0
ADAD2,-0.202100210021002,0.298,1.0
ADAL,-0.0538733873387338,0.749,1.0
ADAM10,-0.1238043804380437,0.303,1.0
ADAM11,-0.0158295829582958,0.91,1.0
ADAM15,-0.2131653165316531,0.154,1.0
ADAM17,0.0606300630063006,0.625,1.0
ADAM19,0.0253105310531053,0.854,1.0
ADAM20,-0.1212601260126012,0.488,1.0
ADAM20P1,0.0842124212421242,0.632,1.0
ADAM22,0.05009300930093,0.783,1.0
ADAM23,0.0018721872187218,0.995,1.0
ADAM28,-0.1307170717071707,0.453,1.0
ADAM29,-0.0103450345034503,0.903,1.0
ADAM33,0.0914731473147314,0.375,1.0
ADAM7,-0.1562436243624362,0.133,1.0
ADAM8,-0.0316591659165916,0.79,1.0
ADAM9,0.0056525652565256,0.972,1.0
ADAMTS1,0.1167716771677167,0.229,1.0
ADAMTS10,0.0991059105910591,0.374,1.0
ADAMTS13,-0.0033363336333633,0.986,1.0
ADAMTS14,0.0119051905190519,0.92,1.0
ADAMTS19,-0.023078307830783,0.913,1.0
ADAMTS2,-0.0854485448544854,0.631,1.0
ADAMTS4,0.0893249324932493,0.454,1.0
ADAMTS5,0.1254845484548454,0.542,1.0
ADAMTS7,-0.0004320432043204,0.998,1.0
ADAMTS8,0.102046204620462,0.512,1.0
ADAMTS9,-0.1347614761476147,0.561,1.0
ADAMTSL1,-0.0129372937293729,0.955,1.0
ADAMTSL2,-0.1571437143714371,0.46,1.0
ADAMTSL3,-0.0449204920492049,0.829,1.0
ADAMTSL5,-0.133009300930093,0.23,1.0
ADAP1,-0.2044884488448844,0.122,1.0
ADAP2,-0.0435763576357635,0.845,1.0
ADAR,0.128052805280528,0.312,1.0
ADARB1,-0.1405340534053405,0.373,1.0
ADARB2,-0.0231263126312631,0.859,1.0
ADARB2-AS1,-0.112079207920792,0.558,1.0
ADAT1,0.012073207320732,0.941,1.0
ADAT2,-0.059093909390939,0.659,1.0
ADAT3,-0.1284728472847284,0.242,1.0
ADCK1,0.0414521452145214,0.666,1.0
ADCK2,0.1984878487848784,0.162,1.0
ADCK5,-0.0132013201320132,0.917,1.0
ADCY1,-0.0113051305130513,0.956,1.0
ADCY10P1,-0.0519171917191719,0.623,1.0
ADCY2,0.0186978697869786,0.939,1.0
ADCY3,-0.0067206720672067,0.969,1.0
ADCY4,0.125088508850885,0.433,1.0
ADCY5,-0.2291989198919891,0.036,1.0
ADCY6,-0.0289708970897089,0.856,1.0
ADCY7,0.0627782778277827,0.759,1.0
ADCY8,-0.1995319531953195,0.195,1.0
ADCY9,-0.1134113411341134,0.608,1.0
ADCYAP1,0.2774917491749175,0.081,1.0
ADCYAP1R1,-0.2641464146414641,0.066,1.0
ADD1,-0.0791239123912391,0.614,1.0
ADD2,-0.0523852385238523,0.702,1.0
ADD3,-0.0736753675367536,0.614,1.0
ADGRA1,0.1894749474947494,0.222,1.0
ADGRA2,0.1522592259225922,0.362,1.0
ADGRA3,-0.2055445544554455,0.238,1.0
ADGRB1,-0.0583858385838583,0.611,1.0
ADGRB2,-0.0215541554155415,0.875,1.0
ADGRB3,0.1481428142814281,0.459,1.0
ADGRE5,0.1566516651665166,0.235,1.0
ADGRF5,0.1863546354635463,0.35,1.0
ADGRG1,-0.1025622562256225,0.586,1.0
ADGRG5,0.0366396639663966,0.743,1.0
ADGRG6,-0.0669666966696669,0.737,1.0
ADGRL1,0.1076987698769876,0.418,1.0
ADGRL2,0.0705910591059105,0.764,1.0
ADGRL3,-0.0151815181518151,0.945,1.0
ADGRL4,0.0906450645064506,0.541,1.0
ADGRV1,-0.1079507950795079,0.498,1.0
ADH1C,-0.1261446144614461,0.246,1.0
ADH5,-0.1574797479747974,0.337,1.0
ADHFE1,-0.2109090909090908,0.173,1.0
ADI1,-0.2002640264026402,0.215,1.0
ADIPOR1,-0.2208700870087008,0.113,1.0
ADIPOR2,0.0135613561356135,0.926,1.0
ADIRF,-0.0597539753975397,0.767,1.0
ADK,-0.0673867386738673,0.679,1.0
ADM,0.0296429642964296,0.878,1.0
ADM5,-0.0336513651365136,0.868,1.0
ADNP,-0.0418961896189618,0.835,1.0
ADNP-AS1,-0.0233663366336633,0.878,1.0
ADNP2,0.0413441344134413,0.809,1.0
ADO,0.1749414941494149,0.372,1.0
ADORA1,0.0974137413741374,0.534,1.0
ADORA2B,-0.2492889288928892,0.113,1.0
ADPGK,-0.0746474647464746,0.547,1.0
ADPRHL1,0.1207560756075607,0.55,1.0
ADPRHL2,0.0141374137413741,0.925,1.0
ADPRM,-0.0952175217521752,0.43,1.0
ADRA1A,-0.2987698769876987,0.032,1.0
ADRA1B,-0.0655265526552655,0.771,1.0
ADRA1D,0.2011401140114011,0.233,1.0
ADRA2A,0.1505670567056705,0.254,1.0
ADRA2C,-0.0103450345034503,0.948,1.0
ADRB1,0.2039843984398439,0.308,1.0
ADRB2,-0.0719231923192319,0.716,1.0
ADRM1,-0.0234743474347434,0.825,1.0
ADSL,-0.0802040204020402,0.561,1.0
ADSS,-0.0887368736873687,0.536,1.0
ADSSL1,0.0174617461746174,0.906,1.0
ADTRP,0.2128412841284128,0.281,1.0
AEBP1,0.0582418241824182,0.808,1.0
AEBP2,0.1413861386138613,0.457,1.0
AES,0.0118211821182118,0.931,1.0
AFAP1,0.0359075907590759,0.763,1.0
AFAP1L1,0.2597779777977797,0.088,1.0
AFAP1L2,0.1395739573957395,0.316,1.0
AFDN,-0.2637503750375037,0.05,1.0
AFDN-DT,-0.0654305430543054,0.645,1.0
AFF1,-0.0908730873087308,0.647,1.0
AFF2,0.0402400240024002,0.836,1.0
AFF3,-0.2912091209120911,0.004,1.0
AFF4,-0.1155235523552355,0.532,1.0
AFG1L,0.128040804080408,0.4,1.0
AFG3L1P,0.0977497749774977,0.572,1.0
AFG3L2,-0.2169816981698169,0.171,1.0
AFMID,0.0414761476147614,0.682,1.0
AFTPH,0.1623522352235223,0.353,1.0
AGA,-0.1043864386438643,0.608,1.0
AGAP1,0.0354155415541554,0.825,1.0
AGAP11,-0.0596219621962196,0.751,1.0
AGAP2,-0.1749534953495349,0.264,1.0
AGAP2-AS1,-0.0092409240924092,0.92,1.0
AGAP3,-0.1272247224722472,0.394,1.0
AGAP5,0.0476327632763276,0.785,1.0
AGBL2,0.0529252925292529,0.589,1.0
AGBL3,0.0716591659165916,0.454,1.0
