GeneLabel,EmpiricalSpearman,SA_CorrectedPval,FDRandSA_Corrected
label,0.3337413741374136,0.04,0.7448308718437352
A1BG,0.3218601860186018,0.13,0.7448308718437352
A1BG-AS1,0.3212361236123612,0.048,0.7448308718437352
A2M,0.0961296129612961,0.523,0.8275620408574017
A2ML1,0.1325532553255325,0.195,0.7448308718437352
A3GALT2,0.0021842184218421,0.973,0.9919067553468962
A4GALT,0.0238703870387038,0.845,0.9499338462644711
AAAS,-0.2109090909090908,0.231,0.7474927066450567
AACS,-0.0828442844284428,0.551,0.8395218789591659
AADACL3,0.0124452445244524,0.913,0.9739912657795974
AADAT,0.0002760276027602,0.998,0.9991503586065573
AAED1,0.1304770477047704,0.451,0.8027454276951039
AAGAB,-0.0103690369036903,0.94,0.9842582546380014
AAK1,-0.2853885388538854,0.109,0.7448308718437352
AAMDC,0.0162616261626162,0.916,0.9748634445200817
AAMP,-0.121080108010801,0.278,0.7541790792146242
AANAT,0.0771077107710771,0.452,0.8027454276951039
AAR2,-0.0488328832883288,0.645,0.8774738948833971
AARD,-0.1153435343534353,0.56,0.8433715441672286
AARS,-0.1915391539153915,0.32,0.7662551692449074
AARS2,-0.2402640264026402,0.273,0.7541790792146242
AASDH,-0.2531533153315331,0.297,0.7566071370376406
AASDHPPT,0.1585958595859586,0.2,0.7448308718437352
AASS,0.2439363936393639,0.151,0.7448308718437352
AATF,-0.0759195919591959,0.706,0.9027976443644691
AATK,0.0145094509450945,0.912,0.9736552854411363
ABAT,-0.253009300930093,0.228,0.7474927066450567
ABCA1,0.0581938193819381,0.717,0.9065570562070359
ABCA10,0.1385178517851785,0.253,0.7506931106471817
ABCA11P,-0.1924632463246324,0.127,0.7448308718437352
ABCA2,-0.0297029702970297,0.782,0.9275311433123437
ABCA3,-0.0542934293429342,0.636,0.8742064357306136
ABCA5,-0.097077707770777,0.644,0.8767237896203414
ABCA6,-0.2663666366636663,0.187,0.7448308718437352
ABCA7,-0.4025322532253225,0.011,0.7448308718437352
ABCA8,0.2536693669366936,0.028,0.7448308718437352
ABCA9,-0.325964596459646,0.084,0.7448308718437352
ABCB1,-0.1042784278427842,0.503,0.8213810319615626
ABCB10,-0.1077227722772277,0.559,0.8425147980333559
ABCB6,0.2173177317731773,0.236,0.7474927066450567
ABCB7,-0.2502250225022502,0.131,0.7448308718437352
ABCB8,-0.1117791779177917,0.438,0.7994970227670753
ABCB9,-0.2223702370237023,0.135,0.7448308718437352
ABCC1,-0.2974617461746174,0.072,0.7448308718437352
ABCC10,-0.22005400540054,0.075,0.7448308718437352
ABCC12,0.2425202520252024,0.128,0.7448308718437352
ABCC5,-0.258985898589859,0.225,0.7474927066450567
ABCC6,0.1797179717971797,0.211,0.7466259440248778
ABCC8,-0.2029402940294029,0.277,0.7541790792146242
ABCC9,-0.0088568856885688,0.963,0.9897148303970548
ABCD2,-0.3852145214521451,0.017,0.7448308718437352
ABCD3,-0.2406840684068406,0.03,0.7448308718437352
ABCD4,-0.2275067506750674,0.049,0.7448308718437352
ABCE1,-0.047080708070807,0.75,0.9166992416542883
ABCF1,-0.0698829882988298,0.641,0.8765323187264935
ABCF2,-0.2817281728172817,0.121,0.7448308718437352
ABCF3,-0.0714551455145514,0.61,0.8629752963532712
ABCG1,-0.1448184818481848,0.472,0.8107281916062403
ABCG2,0.0304710471047104,0.844,0.9497657813287267
ABCG4,-0.2156975697569756,0.206,0.7453376533209904
ABCG8,0.1088628862886288,0.291,0.7543515171613331
ABHD1,0.2708910891089109,0.107,0.7448308718437352
ABHD10,-0.3192679267926793,0.035,0.7448308718437352
ABHD11,-0.2836723672367236,0.087,0.7448308718437352
ABHD12,-0.3406060606060606,0.09,0.7448308718437352
ABHD12B,0.1688448844884488,0.528,0.8287071579158719
ABHD13,-0.0802640264026402,0.636,0.8742064357306136
ABHD14A,-0.0864566456645664,0.531,0.8301653999999999
ABHD14B,0.0266186618661866,0.804,0.9369911293328365
ABHD16A,-0.1182958295829582,0.31,0.7608497894244267
ABHD16B,-0.0801440144014401,0.462,0.8066683046683047
ABHD17A,-0.3903750375037503,0.026,0.7448308718437352
ABHD17B,0.0156615661566156,0.903,0.9710759389186958
ABHD17C,0.159027902790279,0.332,0.767257505773672
ABHD18,-0.0684428442844284,0.688,0.8953793390493632
ABHD2,-0.0113651365136513,0.943,0.9844325587606836
ABHD3,-0.387074707470747,0.016,0.7448308718437352
ABHD4,-0.0138133813381338,0.949,0.9862837200026591
ABHD5,-0.2113171317131713,0.103,0.7448308718437352
ABHD6,-0.2525892589258925,0.161,0.7448308718437352
ABHD8,-0.1489828982898289,0.326,0.7665793972109761
ABI1,0.1503270327032703,0.382,0.7843693196742842
ABI2,0.1759735973597359,0.373,0.7804445931477516
ABI3,0.0963336333633363,0.413,0.793943954968184
ABL1,0.0421482148214821,0.718,0.9069412620182596
ABL2,-0.1466186618661866,0.389,0.7867562742561449
ABLIM1,-0.0926252625262526,0.529,0.8288620966125476
ABLIM2,0.0997419741974197,0.652,0.8804083606840559
ABLIM3,0.1468586858685868,0.532,0.8305660075893749
ABR,0.1313891389138913,0.511,0.8225884287329155
ABRACL,-0.1978637863786378,0.29,0.7543515171613331
ABRAXAS2,0.1108310831083108,0.288,0.7543515171613331
ABT1,-0.3219681968196819,0.02,0.7448308718437352
ABTB1,-0.2545934593459346,0.172,0.7448308718437352
ABTB2,-0.2672787278727872,0.108,0.7448308718437352
ACAA1,-0.1077107710771076,0.492,0.8166395583395265
ACAA2,-0.0082448244824482,0.959,0.988841744630386
ACACA,-0.003084308430843,0.983,0.9947713120590329
ACACB,0.0436243624362436,0.728,0.9104513238940884
ACAD10,0.019069906990699,0.9,0.9700517063081696
ACAD11,-0.2985058505850584,0.016,0.7448308718437352
ACAD8,-0.2603180318031803,0.015,0.7448308718437352
ACAD9,0.0317911791179117,0.833,0.946723029950567
ACADL,0.2517851785178517,0.227,0.7474927066450567
ACADM,-0.3623882388238823,0.027,0.7448308718437352
ACADSB,-0.1053345334533453,0.606,0.8628097870412323
ACADVL,0.0757155715571557,0.695,0.8989065675340768
ACAN,-0.3845664566456645,0.075,0.7448308718437352
ACAP2,-0.0777557755775577,0.611,0.8632183264052051
ACAP3,-0.1620042004200419,0.36,0.7762019031857675
ACAT1,-0.1176477647764776,0.453,0.8028797188527378
ACAT2,0.2947374737473747,0.128,0.7448308718437352
ACBD3,0.0127332733273327,0.88,0.9619577681443156
ACBD4,0.0259825982598259,0.806,0.9379934494566027
ACBD5,-0.2363516351635163,0.055,0.7448308718437352
ACBD6,0.1657485748574857,0.305,0.7589320388349514
ACBD7,-0.0792799279927992,0.582,0.854846674182638
ACCS,0.0469486948694869,0.722,0.9091291881443299
ACD,-0.1504830483048304,0.306,0.7590042836744408
ACE,0.0888808880888088,0.549,0.8385175849941384
ACER2,-0.0774197419741974,0.404,0.7918926780341023
ACER3,-0.1266126612661266,0.39,0.7873093285494619
ACHE,-0.1106150615061506,0.586,0.8562972240396298
ACIN1,-0.2434683468346834,0.042,0.7448308718437352
ACKR1,0.0203780378037803,0.91,0.9726492103643946
ACKR2,-0.0058565856585658,0.954,0.9871491164206765
ACKR3,0.3382058205820582,0.052,0.7448308718437352
ACKR4,0.1327812781278127,0.311,0.7608497894244267
ACLY,-0.1839423942394239,0.088,0.7448308718437352
ACO1,-0.1136393639363936,0.372,0.7799179294622502
ACO2,-0.0552175217521752,0.777,0.9256033221578787
ACOT11,-0.1761056105610561,0.15,0.7448308718437352
ACOT13,0.0572217221722172,0.766,0.9212742518655281
ACOT2,0.2599939993999399,0.139,0.7448308718437352
ACOT4,0.0363156315631563,0.743,0.9144345430213336
ACOT7,0.0216261626162616,0.884,0.962628404262729
ACOT8,0.1161356135613561,0.638,0.8748786948513287
ACOT9,-0.0119891989198919,0.923,0.9782511016202292
ACOX1,0.0098649864986498,0.94,0.9842582546380014
ACOX2,0.1674887488748874,0.29,0.7543515171613331
ACOX3,0.4154935493549354,0.042,0.7448308718437352
ACP1,0.2328832883288328,0.206,0.7453376533209904
ACP2,-0.2606660666066606,0.035,0.7448308718437352
ACP5,0.0667386738673867,0.582,0.854846674182638
ACP6,-0.3022742274227422,0.011,0.7448308718437352
ACPP,0.1795019501950194,0.124,0.7448308718437352
ACR,0.152043204320432,0.336,0.767257505773672
ACRBP,0.0098769876987698,0.934,0.9820536687067053
ACSBG1,0.0286708670867086,0.842,0.9491548056817362
ACSF2,0.0007200720072007,0.997,0.9985328635490069
ACSF3,-0.162028202820282,0.345,0.770092804111936
ACSL1,0.0252865286528652,0.812,0.9399383977491487
ACSL3,-0.0305310531053105,0.875,0.9601846002667227
ACSL4,0.3638163816381637,0.097,0.7448308718437352
ACSL6,-0.3845424542454245,0.069,0.7448308718437352
ACSM1,-0.0479087908790879,0.748,0.9158299005403712
ACSM2A,0.0129852985298529,0.898,0.9689648699013044
ACSM5,0.1554275427542754,0.38,0.7829362150764365
ACSS1,-0.0858205820582058,0.415,0.793943954968184
ACSS2,-0.0461686168616861,0.745,0.9149512961508248
ACSS3,0.0954215421542154,0.555,0.8413526616891304
ACTA1,0.158991899189919,0.493,0.8172581910719966
ACTA2,0.2495049504950494,0.012,0.7448308718437352
ACTB,0.2600900090009,0.167,0.7448308718437352
ACTBL2,0.2066006600660065,0.084,0.7448308718437352
ACTC1,0.2885448544854485,0.262,0.7533764943902888
ACTG1,0.277023702370237,0.132,0.7448308718437352
ACTG1P4,0.2075367536753675,0.139,0.7448308718437352
ACTG2,0.2115091509150915,0.032,0.7448308718437352
ACTL10,0.042076207620762,0.731,0.9114326501315894
ACTL6A,0.1942634263426342,0.201,0.7450056899004267
ACTL6B,-0.2144614461446144,0.17,0.7448308718437352
ACTL8,-0.1994959495949595,0.127,0.7448308718437352
ACTN1,0.2055325532553255,0.191,0.7448308718437352
ACTN2,0.3488628862886288,0.049,0.7448308718437352
ACTN4,-0.1393819381938193,0.519,0.8261934629874759
ACTR10,0.2481728172817281,0.258,0.7521611059907835
ACTR1A,0.1328532853285328,0.537,0.8328827380952382
ACTR1B,-0.2335433543354335,0.335,0.767257505773672
ACTR2,-0.0389798979897989,0.766,0.9212742518655281
ACTR3,-0.0831203120312031,0.586,0.8562972240396298
ACTR3B,0.2721392139213921,0.116,0.7448308718437352
ACTR3BP2,0.1465466546654665,0.291,0.7543515171613331
ACTR3C,0.0091809180918091,0.963,0.9897148303970548
ACTR5,-0.0475007500750075,0.794,0.9331977146293792
ACTR6,-0.1222202220222022,0.516,0.8237663637291943
ACTR8,-0.0256465646564656,0.853,0.9521492217621019
ACTRT3,0.0854965496549654,0.448,0.8027454276951039
ACVR1,-0.2211821182118211,0.153,0.7448308718437352
ACVR1B,0.0016921692169216,0.991,0.9966096745143446
ACVR1C,-0.2832643264326432,0.169,0.7448308718437352
ACVR2A,0.2823882388238823,0.225,0.7474927066450567
ACVR2B,0.2469606960696069,0.177,0.7448308718437352
ACVRL1,0.0569456945694569,0.745,0.9149512961508248
ACY3,0.1263846384638463,0.414,0.793943954968184
ACYP1,-0.0604140414041404,0.726,0.9101342314168872
ACYP2,-0.3456945694569456,0.113,0.7448308718437352
ADA,0.1094629462946294,0.33,0.767257505773672
ADA2,0.0875607560756075,0.384,0.78506456241033
ADAD2,-0.1577197719771977,0.481,0.8141656982999784
ADAL,-0.2532733273327332,0.115,0.7448308718437352
ADAM10,0.0051605160516051,0.974,0.9920205863192181
ADAM11,-0.2199699969996999,0.127,0.7448308718437352
ADAM15,-0.3148514851485148,0.046,0.7448308718437352
ADAM17,0.1203480348034803,0.288,0.7543515171613331
ADAM19,-0.0777917791779177,0.618,0.8657537634408602
ADAM20,-0.2573897389738974,0.116,0.7448308718437352
ADAM20P1,-0.2074407440744074,0.26,0.7521611059907835
ADAM22,-0.267098709870987,0.133,0.7448308718437352
ADAM23,-0.3143114311431143,0.119,0.7448308718437352
ADAM28,0.1373657365736573,0.478,0.8130836688064411
ADAM29,0.0982178217821782,0.34,0.767257505773672
ADAM33,0.1162436243624362,0.268,0.7541790792146242
ADAM7,-0.0641104110411041,0.559,0.8425147980333559
ADAM8,-0.0035883588358835,0.981,0.9939053852634308
ADAM9,-0.2234383438343834,0.207,0.7465370242214533
ADAMTS1,0.1817941794179417,0.07,0.7448308718437352
ADAMTS10,-0.0655505550555055,0.568,0.8467733384189948
ADAMTS13,-0.2386318631863186,0.157,0.7448308718437352
ADAMTS14,0.0276147614761476,0.829,0.94540710482165
ADAMTS19,0.3451785178517851,0.077,0.7448308718437352
ADAMTS2,-0.0751275127512751,0.683,0.893035209500711
ADAMTS4,0.1366696669666966,0.313,0.7616252140077822
ADAMTS5,-0.2652505250525052,0.203,0.7451753932848086
ADAMTS7,0.147026702670267,0.36,0.7762019031857675
ADAMTS8,0.2017041704170417,0.171,0.7448308718437352
ADAMTS9,0.1647644764476447,0.516,0.8237663637291943
ADAMTSL1,-0.1698169816981697,0.487,0.8149157658139784
ADAMTSL2,-0.0067446744674467,0.969,0.9916288498005623
ADAMTSL3,0.1019381938193819,0.648,0.8786497831743278
ADAMTSL5,-0.057053705370537,0.596,0.8598988556662974
ADAP1,-0.2581458145814581,0.058,0.7448308718437352
ADAP2,0.2362316231623162,0.269,0.7541790792146242
ADAR,0.2244584458445844,0.068,0.7448308718437352
ADARB1,-0.3977677767776776,0.01,0.7448308718437352
ADARB2,-0.0276387638763876,0.801,0.9362866542056076
ADARB2-AS1,0.0658385838583858,0.758,0.918506588125872
ADAT1,-0.1660966096609661,0.272,0.7541790792146242
ADAT2,-0.0737473747374737,0.616,0.8646564912910756
ADAT3,-0.185058505850585,0.097,0.7448308718437352
ADCK1,-0.0489288928892889,0.635,0.8741384168354319
ADCK2,0.2095889588958895,0.163,0.7448308718437352
ADCK5,-0.1192079207920791,0.306,0.7590042836744408
ADCY1,-0.3419141914191419,0.043,0.7448308718437352
ADCY10P1,0.0481488148814881,0.654,0.8811302998965874
ADCY2,0.3436063606360636,0.185,0.7448308718437352
ADCY3,-0.2324632463246324,0.277,0.7541790792146242
ADCY4,-0.0254185418541854,0.872,0.9595191441441442
ADCY5,-0.2106090609060905,0.079,0.7448308718437352
ADCY6,-0.1566516651665166,0.369,0.778430171366887
ADCY7,0.3413261326132613,0.104,0.7448308718437352
ADCY8,-0.3574797479747975,0.02,0.7448308718437352
ADCY9,-0.4115451545154515,0.049,0.7448308718437352
ADCYAP1,0.319087908790879,0.041,0.7448308718437352
ADCYAP1R1,-0.018049804980498,0.896,0.9680762957843815
ADD1,-0.3304290429042904,0.017,0.7448308718437352
ADD2,-0.0583378337833783,0.712,0.9050661029351978
ADD3,0.0595739573957395,0.672,0.8881602840476794
ADGRA1,-0.0564296429642964,0.75,0.9166992416542883
ADGRA2,-0.1656165616561656,0.359,0.7762019031857675
ADGRA3,0.0535133513351335,0.758,0.918506588125872
ADGRB1,-0.1276327632763276,0.289,0.7543515171613331
ADGRB2,0.1262286228622862,0.324,0.7665793972109761
ADGRB3,0.3896309630963096,0.032,0.7448308718437352
ADGRE5,0.1878427842784278,0.168,0.7448308718437352
ADGRF5,0.3004140414041404,0.146,0.7448308718437352
ADGRG1,0.1493069306930692,0.412,0.793943954968184
ADGRG5,0.1178877887788778,0.291,0.7543515171613331
ADGRG6,0.1711491149114911,0.423,0.7951403150174341
ADGRL1,-0.1147074707470746,0.393,0.7873093285494619
ADGRL2,-0.2041524152415241,0.428,0.7969690328727965
ADGRL3,0.2833003300330032,0.186,0.7448308718437352
ADGRL4,-0.1375217521752175,0.371,0.7792844283219131
ADGRV1,0.1843384338433843,0.254,0.7513786187322611
ADH1C,0.0045724572457245,0.972,0.9917279906023625
ADH5,0.1314011401140113,0.437,0.7993515853515853
ADHFE1,-0.0417161716171617,0.784,0.9282835504392608
ADI1,0.0716471647164716,0.676,0.8899110811721119
ADIPOR1,0.0197179717971797,0.893,0.9673754157427937
ADIPOR2,0.0162736273627362,0.91,0.9726492103643946
ADIRF,0.2675307530753075,0.158,0.7448308718437352
ADK,0.0593099309930993,0.699,0.9003267424616905
ADM,-0.2666306630663065,0.173,0.7448308718437352
ADM5,0.2425202520252024,0.268,0.7541790792146242
ADNP,-0.0999099909990999,0.606,0.8628097870412323
ADNP-AS1,-0.0317911791179117,0.865,0.95673222497347
ADNP2,-0.0729312931293129,0.643,0.8767237896203414
ADO,-0.1845544554455445,0.39,0.7873093285494619
ADORA1,-0.0813201320132013,0.631,0.872627509951349
ADORA2B,-0.0216261626162616,0.897,0.9684874309392266
ADPGK,-0.0796879687968796,0.505,0.8222422411997501
ADPRHL1,-0.1182838283828382,0.568,0.8467733384189948
ADPRHL2,0.0578577857785778,0.733,0.9116107403876708
ADPRM,-0.1521752175217521,0.225,0.7474927066450567
ADRA1A,-0.1825742574257425,0.246,0.7504076952973182
ADRA1B,0.2771677167716771,0.236,0.7474927066450567
ADRA1D,0.1411821182118211,0.463,0.8072423329987732
ADRA2A,0.0415961596159615,0.769,0.9221158153090966
ADRA2C,0.3329012901290129,0.031,0.7448308718437352
ADRB1,-0.0553855385538553,0.824,0.9444586510263929
ADRB2,0.1607920792079207,0.46,0.805695720367466
ADRM1,-0.0495649564956495,0.641,0.8765323187264935
ADSL,-0.03003900390039,0.817,0.9418905685421428
ADSS,0.0382478247824782,0.828,0.945231982475356
ADSSL1,-0.2023762376237623,0.252,0.750432
ADTRP,0.4077407740774076,0.041,0.7448308718437352
